order,original,name,title,stories,observation,sha256,taken_exif,width,height,bytes
1,IMG_3730.jpeg,001_acceso-inicio-de-sesion.jpeg,Inicio de sesión,SR-HU-01,"Selección de usuario, contraseña y teclado.",96a62bb66b582f1e8dd3135f9a940104ecb4dc19166742b01d2447bf6a7bac61,2026:09:08 14:10:29,2268,4032,2253029
2,IMG_3731.jpeg,002_inicio-menu-administrativo.jpeg,Menú administrativo,SR-HU-02,"Accesos a catálogos, compras, almacén y punto de venta.",3e8091f934930cb4a01a7de2f2ba8c23db4dba3a3c00a219ec271235f2870d62,2026:09:08 14:11:13,5712,3213,4847157
3,IMG_3732.jpeg,003_insumos-catalogo-y-costos.jpeg,Catálogo de insumos,SR-HU-03;SR-HU-18;SR-HU-19,"Listado con clave, descripción, costo y unidad; ficha y acceso a recetas relacionadas.",315ef69b5ee4f80b1c3a094a07625d296106961e28ac184419acff9918f0d6e4,2026:09:08 14:12:13,5712,3213,4285320
4,IMG_3733.jpeg,004_insumos-alta-y-propiedades.jpeg,Alta de insumo,SR-HU-03;SR-HU-19,"Grupo, clave, descripción, unidad, impuestos, inventariable y merma.",20acd837f09582dea2a142fa6e969ed4760bcc880aff315af07b1fac07bc8fcd,2026:09:08 14:12:50,5712,3213,4920862
5,IMG_3734.jpeg,005_insumos-grupos-y-clasificacion.jpeg,Grupos de insumos,SR-HU-03,Catálogo de grupos con clasificación y referencias a tipo de pedido y cuenta contable.,44df3043d633f6288ee2de25eb3b9e15af8af7f50d4cf9bcc45a4c85507e2e0f,2026:09:08 14:13:13,5712,3213,4590357
6,IMG_3735.jpeg,006_insumos-seleccion-unidad-base.jpeg,Unidad base del insumo,SR-HU-04,Selector de unidades dentro de la ficha de insumo.,f14ac87539cdbb25c4b68344082339df517c622f4368d07c2330fd7aa284670b,2026:09:08 14:13:28,5712,3213,4616540
7,IMG_3737.jpeg,007_compras-alta-presentacion-insumo.jpeg,Alta de presentación de compra,SR-HU-05;SR-HU-18,"Presentación vinculada a insumo base, proveedor, rendimiento y costo.",3f2b30289a9b268d536d0859666b729b49805e60ea5764d9a4a7d0567f4204f9,2026:09:08 14:17:29,5712,3213,5489859
8,IMG_3738.jpeg,008_compras-presentacion-proveedor-y-rendimiento.jpeg,Detalle de presentación y rendimiento,SR-HU-05;SR-HU-18,Ejemplo de frasco de 450 g equivalente a 0.4500 kg; proveedor y costos.,c3e13b075190695f917056dcc615bb544ad35bdc4f72367195716f2aa824e3a6,2026:09:08 14:18:07,5712,3213,5328619
9,IMG_3739.jpeg,009_compras-busqueda-insumo-base.jpeg,Búsqueda del insumo base,SR-HU-05,Diálogo de búsqueda para vincular una presentación a un insumo.,79868ef22332620f21e466fe61f204968b7334233831fe3b5b3388391c7eedb2,2026:09:08 14:18:48,5712,3213,4935290
10,IMG_3740.jpeg,010_proveedores-alta-datos-y-credito.jpeg,Catálogo y alta de proveedores,SR-HU-06,"Nombre, razón social, RFC, contactos, crédito, tipo, estado y cuenta contable.",0aa91e542bd21f0075cf85bb3896ab79f6a43e0aade0a3337429c85b162a142f,2026:09:08 14:19:30,5712,3213,4941340
